original_image_id,coco_image_id,jpeg_quality,decoder_backend,mae,rmse,psnr_db,psnr_is_infinite,ssim,max_absolute_error,p95_absolute_error,p99_absolute_error,percentile_method,jpg_file_size_bytes,pre_jpeg_uint8_bytes,compression_ratio,jpg_bytes_per_pixel,ssim_win_size_whole_image,skimage_version,output_jpg_sha256,decoded_jpg_uint8_sha256
18ca65f3991cd9e0339abe5d0dcdfc71,472,100,pydicom_native,0.07843757610279398,0.28006782904094946,59.18553910963826,False,0.9988032282744946,2.0,1.0,1.0,linear,1337507,4845420,3.622724965177752,0.2760353075687969,,0.23.2,7bf71d0e33d131e19a4280eed3dcf1ff239b996d37a82610d33b56768b403f47,55c6fd2b8170e7190c90277c76272e06e377a5b605419ab32e3b249fef4d9cde
144e272e04daf6ac8d36548ea766da37,382,95,pillow:pillow,0.92841015625,1.3150738156563684,45.75180099577551,False,0.9781482438721936,9.0,3.0,4.0,linear,1044374,5120000,4.902458314741654,0.203979296875,,0.23.2,cc57700c054f9ecd5029b3eeb4b4fc56a00594d76d95eb466d6bb60efb495cd2,f6ffbb8170ac5d3fea351bf801e5679e01aafd4475416f3eec20745f84241a62
144e272e04daf6ac8d36548ea766da37,382,100,pillow:pillow,0.09000078125,0.3000019531186422,58.58832196589334,False,0.998819278783047,2.0,1.0,1.0,linear,2283908,5120000,2.2417715599752706,0.44607578125,,0.23.2,e945adabfc4903b7ec446ed4291ada3e0db2a1b09d216b88a992536cb5e581eb,7e60bc0e6a38b75bc8baeb00cb5a74e4b00ac8127b9763ca1358ff17179e8cd2
f52ec4da5edc58fc2f93c00316c38fe7,4695,95,pillow:pillow,1.126359403460838,1.5697646601775823,44.2141126553646,False,0.9790989407241679,9.0,3.0,4.0,linear,2487002,8784000,3.5319633840262292,0.28312864298724955,,0.23.2,ef14543c9b39af0c78b92f269fd1ed5aea7458effb6506e34bb9b74daefcb507,84cc79117d3df908b0d7886e0b7060c5b308b08485e0e446d91a693397905985
f52ec4da5edc58fc2f93c00316c38fe7,4695,100,pillow:pillow,0.08557798269581056,0.2925406499550762,58.8070791695757,False,0.9992466321910185,2.0,1.0,1.0,linear,4614943,8784000,1.903382121946035,0.5253805783242259,,0.23.2,83cdde5d32c7b3dc84f1292cb0afb3772af9fc06c97a3246c56bc7c259dba6f4,9aca353e2239cb8c5e7e4e52445f02e50f917ffde582f47052c98c5ddaf0e35f
df5aa1123fb533c8865b8eaf0bb9c5c8,4293,95,pydicom_native,0.33483144907974954,0.604103566994321,52.508575607171146,False,0.9947955051948933,7.0,1.0,2.0,linear,561612,4845420,8.627700262814898,0.11590574191710935,,0.23.2,3ac42266849e997a0c81f81165a36fe7fe43c1305acdf5953058f62ce6f12cbe,6ea3b881d90ec3831555b55fc31882a61e73d75129f620eb4e5952406bec71a5
df5aa1123fb533c8865b8eaf0bb9c5c8,4293,100,pydicom_native,0.07756582504715794,0.278507159347968,59.234076334796356,False,0.9988441570056558,2.0,1.0,1.0,linear,1369476,4845420,3.5381561998895927,0.2826330844385007,,0.23.2,36118ba04d1efe770f2a8c5a543a7cbd5aac60e5eb00d07d867037dff67c52ef,f013eedb22587ecef618b08eb0ae4317984c8e60e2b3e5816371e73744254f1a
61e0b38cea96d57adb044ac496e556ff,1864,95,pillow:pillow,1.347392013176239,1.7610732911042044,43.215254998592144,False,0.9723432337662333,10.0,3.0,5.0,linear,1981459,5979248,3.0175986482687756,0.33138933190260716,,0.23.2,c69894dbb59a213c35921977b6fca8c381b733332af3c013ac297c160adc86b3,41e1f5fed67ac3a7340ba0360814a33f91d90237ead6b6fabb88e6567d6f1686
61e0b38cea96d57adb044ac496e556ff,1864,100,pillow:pillow,0.09185586548676355,0.3030773259199103,58.49973467322409,False,0.9991817153907654,1.0,1.0,1.0,linear,3575591,5979248,1.6722404771686694,0.5980001164025978,,0.23.2,1df859cbb324e74d4f880951e32e09177a4026bee898303a1f5e017c780e153e,18df5d4814a6e6211d0aa92d0a2324b72b7d7f6b4765c0810baacb91550bf496
0d0e4dbe84356f8ec4a4ff7616b4850f,259,95,pillow:pillow,0.8989185546875,1.2369177133857774,46.28398743034348,False,0.9807394005524372,9.0,2.0,3.0,linear,1032078,5120000,4.960865360951401,0.201577734375,,0.23.2,7c0b8dbbb40d33d2be035adec8442b3c3ea15c3583844118245e9ca1ba2418d2,891bc23320886512fce8694629b3827d3d3b20bc24e8830b795e69d69f035ef8
