scope,unit_id,MAE_q100_minus_q95,PSNR_q100_minus_q95,SSIM_q100_minus_q95
roi,10052,-1.2397851054575069,15.03576964209946,0.0008124853016791
roi,10065,-1.3538725187974396,15.796937006834504,0.011587008682873323
roi,10129,-0.7305488677204368,11.308635362123297,0.0007666192720033882
roi,10155,-0.746189491017332,11.799637544475544,0.0015198735827168797
roi,10192,-1.1527423469387754,14.695605083277854,0.0011034730557745176
roi,10313,-1.1932109527227976,14.850487492370036,0.00070658173071525
roi,1038,-1.401229598844278,16.05878194050826,0.01605921526062104
roi,104,-1.0164004159183289,13.54700061633482,0.003353124445463096
roi,10438,-0.9105504587155963,12.770834184579392,0.0030170038257701925
roi,10638,-0.8084214980956411,11.992743130141612,0.000619279217842772
roi,10687,-0.7444492961931967,11.417952299025949,0.0016313752648251523
roi,10767,-1.0214805230273982,13.638457997924554,0.005470173202390294
roi,10962,-0.33806499505113824,7.120229220660214,0.00031472770267115813
roi,10964,-0.8471392463235294,12.30054258875056,0.0025040011678780782
roi,11181,-0.176510353357644,5.092696112088163,0.00039081368054427745
roi,11212,-1.3916015741104018,15.980458115689657,0.01339870620258421
roi,11333,-0.1900921658986175,5.30366766672887,0.0005961371759897194
roi,11361,-0.7008580705009276,11.026263036383881,0.0013534313632258543
roi,115,-1.1035561660561661,14.25188444403868,0.0011434251110785665
roi,11581,-0.15528455284552845,4.751589905993697,0.00014658371817422022
roi,11715,-1.2219003989951234,15.053948465553987,0.0006686345285787931
roi,11758,-1.1891718077362186,14.844604403253413,0.0005137077683512459
roi,11830,-1.2666281938856219,15.237210819173207,0.0013462809217483773
roi,11835,-1.2156171123492259,15.065820950015535,0.008240715637214957
roi,1198,-0.7305698672911788,11.275979022788832,0.0019731187000870953
roi,11980,-1.0699235211487435,14.04822144074587,0.003975122172403589
roi,12052,-1.3418549346016646,15.733168957430053,0.005477349526628594
roi,12284,-0.6826893824155765,10.856232441495209,0.0019198751481479537
roi,12322,-1.0891153321901244,14.193198623105715,0.0009491379323767202
roi,12473,-0.15001419789564163,4.692637746848078,0.0002640500213655361
roi,12639,-1.3060988988406685,15.495295769289378,0.015747607404317465
roi,12667,-0.1300508655605258,4.3812513926911905,0.0002605978200637127
roi,12723,-0.10251647485690038,3.8641206567147037,0.0008471710876930549
roi,12749,-0.4493090776494434,8.437790222384656,0.0008017649221454537
roi,12759,-0.6771488469601676,10.87706534168646,0.0009416442366548816
roi,12833,-0.1348503600360036,4.460129972735764,0.00010856503117595562
roi,12989,-0.23146052631578945,5.849040488591228,0.00010772817979920468
roi,13026,-1.2339875142275722,14.996769645891831,0.0008796945969219427
roi,1307,-0.7969924812030076,11.91408017139787,0.015181011641761777
roi,13273,-0.1431107199178494,4.5849495538028435,0.0001078236723943693
roi,13294,-1.2832368171094155,15.31222081582056,0.0006927663807089202
roi,13531,-0.7245945543817884,11.241226977037883,0.0014663654303387341
roi,13561,-1.3766803305354935,15.90644156886566,0.0015430907601726718
roi,13649,-1.1690045248868777,14.453715439119357,0.01359630502127307
roi,13753,-0.745746091568956,11.413258080236233,0.0017079058896352084
roi,13812,-1.2507454783602263,15.167307836337848,0.012902186070340993
roi,13851,-1.0426365598538936,13.791989530859652,0.004198484455730012
roi,1387,-0.7548500881834215,11.693578763967125,0.010114821040036914
roi,13878,-0.6845965679138293,10.877473646748498,0.001916875221501635
roi,13999,-0.7456065824286104,11.406974843383722,0.0021168306242054236
roi,14101,-1.221279162834036,15.011231760069428,0.006034238625556854
roi,14131,-1.4088400579792795,16.099018929238923,0.013320109254552737
roi,14250,-0.14771767810026384,4.711552286348308,0.0001227057945853982
roi,14251,-1.0395093457943927,13.821652580449879,0.001833573812642486
roi,14328,-1.0070195452125636,13.561274516122126,0.0015158308009779464
roi,14374,-0.1775470060212035,5.114726004742579,0.0003328506168298606
roi,14400,-1.0201333133703685,13.643923320740996,0.0051551104541268655
roi,14465,-1.1769064269064269,14.732453653000945,0.009528798058599741
roi,14573,-0.8886255924170616,12.679179857403355,0.003357264874328969
roi,14574,-0.4493090776494434,8.437790222384656,0.0008017649221454537
roi,14586,-0.3065400989076894,6.740306969188929,0.0005129202000843103
roi,14721,-0.9715574054804024,13.179942850592703,0.005035679008710492
roi,14859,-1.29920034476154,15.455390892588348,0.010299397526191911
roi,14967,-1.128791687615217,14.321587090952008,0.00338798834537668
roi,14998,-0.714824982841455,11.250898887605885,0.0010138148796200452
roi,15117,-0.18895592425004193,5.273609433891217,0.00013469349384520601
roi,15176,-0.18545310128647008,5.2414912776111535,0.00046065122962124505
roi,15217,-0.13354470513633482,4.347355717833047,0.00011773658704561374
roi,15232,-0.1436571860055374,4.585914525209418,0.00010547484672063234
roi,15484,-1.2525756517659492,15.255004652524505,0.008098855858374221
roi,15516,-0.6855679857516558,10.866150903131249,0.0026027415171522295
roi,1554,-0.14800459374102787,4.6288784278745965,0.0003157433408005339
roi,15556,-0.11776187378009108,3.958163150421818,0.00038684468926497573
roi,15608,-0.14800459374102787,4.6288784278745965,0.0003157433408005339
roi,15764,-0.1513190034196385,4.714812508520872,0.0001661780882254993
roi,1582,-0.8976679104477613,12.733980265955822,0.0038479644353940357
roi,15978,-0.8211268597174638,12.112014587900262,0.001086445056209917
roi,16000,-0.7177474172274866,11.192558892779367,0.002966260785487229
roi,1614,-0.7687767190316765,11.640273334270766,0.001630613961341787
roi,16147,-1.3728547107120301,15.903516239487018,0.00718091765389961
roi,16233,-0.15445906432748538,4.750870848092092,0.0001747993785922164
roi,16306,-1.3047706792538556,15.515818908087425,0.016303017412719112
roi,16339,-0.13129002348333202,4.408354048905494,0.00024355214216120746
roi,16348,-0.13101824162679426,4.290986323381631,0.00011271540956558912
roi,1645,-0.15525583093705783,4.795492719769463,0.0003823902556501224
roi,16587,-1.1430832327938871,14.479029061186566,0.006504852351126744
roi,16641,-0.87137200630454,12.82502818749034,0.00320953497784926
roi,17110,-1.1484296885014742,14.534059430639545,0.0013689573871461524
roi,17195,-0.1378519544344619,4.428097112830628,0.0007526570957222534
roi,17519,-0.14643356643356645,4.558935887181299,0.00021565758964803283
roi,17522,-1.1766157508430868,14.707851939225812,0.012034367308637162
roi,17528,-1.223182992067884,15.022945234389852,0.0007430377282762191
roi,17556,-0.14035602503912362,4.4111703877889,0.00016360887309885275
roi,17690,-1.4041217107816504,16.06981107092338,0.013946615679772179
roi,17729,-0.1300508655605258,4.3812513926911905,0.0002605978200637127
roi,1773,-0.8023529411764705,11.937897854940985,0.005061814555006872
roi,17735,-0.1087719298245614,3.5512689875814374,0.0007136398942714228
roi,17739,-1.1597429993075796,14.58002283620192,0.007602237635608744
roi,17800,-0.8471392463235294,12.30054258875056,0.0025040011678780782
roi,1785,-0.7589948515325671,11.549033670610015,0.0020697188058939053
roi,17852,-0.17435930951387457,5.064712713662885,0.00038712449028754925
roi,17939,-0.12806590526118705,4.216512639979946,0.00020910536738860674
roi,18183,-1.2795154185022026,15.259049883154859,0.0029381961252742395
roi,18279,-0.920138888888889,12.925897020618969,0.009063687230123185
roi,18293,-0.13132027376213423,4.310700904307431,6.744693967819515e-05
roi,18318,-0.14810909240550607,4.7000466031702,0.00016124168251607784
roi,18339,-1.0101650612323927,13.501810291684762,0.0006290632836107868
roi,18357,-1.2067834225888936,14.902356864494124,0.007184862427877747
roi,18545,-1.3075296608083493,15.519497301909581,0.009681766995085939
roi,18608,-0.6826893824155765,10.856232441495209,0.0019198751481479537
roi,18896,-0.4503543740623315,8.415614854996086,0.0004160945455978782
roi,18899,-1.1794941165075135,14.733582310788435,0.015699501185416964
roi,18976,-0.4614419590299035,8.552737509197144,0.000312741440838038
roi,1900,-1.0699235211487435,14.04822144074587,0.003975122172403589
roi,19016,-0.1217948717948718,3.9722157264070006,0.0005018636956511946
roi,19138,-0.13041125541125542,4.270982374132515,0.0010200501529867845
roi,19224,-0.13119298185669867,4.3888411661109,0.0001100986765907308
roi,19267,-0.13880721551176098,4.4641804807703735,0.00019176098952389253
roi,1932,-1.2689521266408152,15.348117572078685,0.008681871181385525
roi,19323,-0.8343354404219321,12.178287729127184,0.0003368700911711153
roi,19459,-1.2675947579755549,15.316051868879384,0.0026040311602457678
roi,19481,-0.12982528701057802,4.302937313302905,6.28802140010265e-05
roi,19648,-0.6855679857516558,10.866150903131249,0.0026027415171522295
roi,19711,-1.1322459751913434,14.467021740615614,0.0016039569023356126
roi,19794,-0.6845965679138293,10.877473646748498,0.001916875221501635
roi,19820,-1.0128072873075502,13.684520796130798,0.0016075515537886664
roi,19916,-1.0823495010782558,14.142361140098146,0.0015532294061598728
roi,20334,-0.7639173338298269,11.723163002288558,0.0017127817873313633
roi,20410,-0.9832953173218837,13.410774248899557,0.001110593157258366
roi,20517,-1.3704849430668749,15.879545359852791,0.011102610574425298
roi,20581,-0.15445906432748538,4.750870848092092,0.0001747993785922164
roi,20635,-1.2613769251347116,15.274234872731093,0.001598613350712097
roi,20735,-0.13419117647058826,4.4142568333610654,0.00024625468391870076
roi,20912,-1.0955402354950887,14.189552957997797,0.0014747928189796644
roi,2103,-1.3892087815046978,15.98804130500794,0.015250830282555028
roi,21278,-1.403751233958539,16.055422922500455,0.00939624699274888
roi,21485,-0.1436571860055374,4.585914525209418,0.00010547484672063234
roi,21494,-0.13915492957746478,4.474372380095986,5.407223325393229e-05
roi,21552,-0.6480876103301733,11.130232072929836,0.0015734395261995937
roi,21736,-1.3688187213078045,15.868249212386097,0.0015877092270453197
roi,21897,-0.46235329945199144,8.601891898374383,0.0001771938941524942
roi,22031,-1.0943726506645701,14.172344846320009,0.00041360618619901146
roi,22077,-1.085307529751974,14.060847337498465,0.0024653367112238422
roi,22113,-1.2875987361769352,15.419246660496896,0.007571828034818373
roi,22168,-1.2324299560480465,14.979837665197806,0.001761700736359506
roi,22388,-1.0116427432216906,13.479483640786292,0.004817545107125065
roi,22426,-0.19888051533819068,5.427922565902662,8.518448322425431e-05
roi,22477,-1.0709051220082637,13.961765352580272,0.00224654262067725
roi,22493,-1.2830004665998638,15.355018249886484,0.0021659499808379667
roi,22527,-0.7639173338298269,11.723163002288558,0.0017127817873313633
roi,22558,-1.0968170665212649,14.21370173938417,0.0012063964198141264
roi,22902,-1.2908919215699863,15.44100793699532,0.014487086671033711
roi,22966,-0.14218802275008366,4.833108295373599,0.0002590978883331152
roi,2301,-0.8203090385467435,12.055279554165978,0.004257292851349681
roi,23186,-1.2733878447505733,15.307018580245924,0.007176566174923904
roi,23307,-1.1407073561989154,14.461573245118487,0.0053953837769490365
roi,23500,-0.7341414141414141,11.462690174947348,0.007458222566524619
roi,23522,-0.14015291651251696,4.4875150688961725,0.0005521810979057795
roi,23625,-0.1348503600360036,4.460129972735764,0.00010856503117595562
roi,23648,-1.0164004159183289,13.54700061633482,0.003353124445463096
roi,23798,-0.7343639745974726,11.235305196007339,0.001464839923373873
roi,23816,-1.1687936856985783,14.615461107124894,0.007438054975965613
roi,23836,-1.2408179213336807,15.177666955754233,0.001062013603422729
