scope,jpeg_quality,metric,annotation_micro_mean,image_macro_mean,class_macro_mean,worst_value,detail
whole_image,95,MAE,0.8732706254380066,0.8732706254380066,,1.4032133125964505,
whole_image,95,SSIM,0.9812173563201905,0.9812173563201905,,0.9673306875361017,
whole_image,95,PSNR,47.241447643609355,47.241447643609355,,42.76139295986776,
whole_image_worst,95,MAE,,,,1.4032133125964505,de15c0fca6c7441dd089122ad074a7f3
whole_image,100,MAE,0.08507396151421309,0.08507396151421309,,0.09261722222222223,
whole_image,100,SSIM,0.9989811547194112,0.9989811547194112,,0.9986885453766009,
whole_image,100,PSNR,58.85772443046609,58.85772443046609,,58.463865253302664,
whole_image_worst,100,MAE,,,,0.09261722222222223,d2e80d6cae14b72a824f1ac625d23472
roi,95,ROI_MAE,0.8480220324355213,0.91124632969708,0.8236327654276936,1.5011435462408516,14131
roi,100,ROI_MAE,0.08756731940559395,0.08834516014628825,0.08788136043098049,0.09841628959276018,13649
roi,95,ROI_SSIM,0.9966317990615278,0.9964436912187637,0.9968350281412741,0.9863438282590083,14131
roi,100,ROI_SSIM,0.999820002002803,0.9998423571675455,0.9998301058618558,0.9995054008642956,13649
per_class_distribution,95,ROI_MAE_class0,0.9342590114463073,0.19293228099031534,1.4694384800572582,1.4694384800572582,n=72
per_class_distribution,95,ROI_MAE_class1,0.985703059992864,0.5299909665763324,1.481801558405837,1.481801558405837,n=4
per_class_distribution,95,ROI_MAE_class2,0.5752595440444284,0.20317344005411195,1.3737004405286344,1.3737004405286344,n=14
per_class_distribution,95,ROI_MAE_class3,1.1356242467878799,0.17403813680409425,1.5011435462408516,1.5011435462408516,n=58
per_class_distribution,95,ROI_MAE_class4,0.7681713204924823,0.530522156152889,1.4612137498600382,1.4612137498600382,n=4
per_class_distribution,95,ROI_MAE_class5,0.7726411483103416,0.2048369869822235,1.3539381663927847,1.3539381663927847,n=15
per_class_distribution,95,ROI_MAE_class6,0.5882472582202143,0.2107685318690869,1.0790868993993994,1.0790868993993994,n=16
per_class_distribution,95,ROI_MAE_class7,0.5948768303843658,0.1919502284854964,1.4651926323013855,1.4651926323013855,n=22
per_class_distribution,95,ROI_MAE_class8,0.5629220311629053,0.1836734693877551,1.4657998103751861,1.4657998103751861,n=48
per_class_distribution,95,ROI_MAE_class9,0.9272888418180046,0.2034412955465587,1.4848151648431536,1.4848151648431536,n=33
per_class_distribution,95,ROI_MAE_class10,1.0922859854037248,0.22048829599798642,1.4937315054522455,1.4937315054522455,n=26
per_class_distribution,95,ROI_MAE_class11,0.9014082719391354,0.1793572019378471,1.379739336492891,1.379739336492891,n=35
per_class_distribution,95,ROI_MAE_class12,0.9537368445752483,0.5369026842848832,1.3705710048656135,1.3705710048656135,n=2
per_class_distribution,95,ROI_MAE_class13,0.7384343214098097,0.1940453367964654,1.3057448095142108,1.3057448095142108,n=53
per_class_distribution,100,ROI_MAE_class0,0.0883235068199016,0.07568318303632558,0.09457137325136744,0.09457137325136744,n=72
per_class_distribution,100,ROI_MAE_class1,0.09111090738792751,0.08934056007226739,0.09294196514077763,0.09294196514077763,n=4
per_class_distribution,100,ROI_MAE_class2,0.08348554578218978,0.07554386803729381,0.0964349376114082,0.0964349376114082,n=14
per_class_distribution,100,ROI_MAE_class3,0.08949135099916034,0.07152166194719387,0.09326432607423159,0.09326432607423159,n=58
per_class_distribution,100,ROI_MAE_class4,0.09016357627043382,0.08907167376338841,0.09239502855223379,0.09239502855223379,n=4
per_class_distribution,100,ROI_MAE_class5,0.0870262837300333,0.0747861214216977,0.09281698597238142,0.09281698597238142,n=15
per_class_distribution,100,ROI_MAE_class6,0.08529894993109467,0.07550020739102095,0.09266233766233767,0.09266233766233767,n=16
per_class_distribution,100,ROI_MAE_class7,0.08364166533616163,0.07465054829795674,0.0937554093820322,0.0937554093820322,n=22
per_class_distribution,100,ROI_MAE_class8,0.08129671593244274,0.06713164777680906,0.09774436090225563,0.09774436090225563,n=48
per_class_distribution,100,ROI_MAE_class9,0.08911214390454346,0.0747861214216977,0.09395982762816933,0.09395982762816933,n=33
per_class_distribution,100,ROI_MAE_class10,0.0920340841207447,0.07683110999244903,0.0938795096627841,0.0938795096627841,n=26
per_class_distribution,100,ROI_MAE_class11,0.08993555142727244,0.07395722557012879,0.09507591883070811,0.09507591883070811,n=35
per_class_distribution,100,ROI_MAE_class12,0.09107227900452354,0.08962436632593701,0.09252019168311007,0.09252019168311007,n=2
per_class_distribution,100,ROI_MAE_class13,0.08834648538729721,0.07431034482758621,0.09841628959276018,0.09841628959276018,n=53
small_lesion,95,smallest_overall_relative_area,2.288818359375e-05,,,0.18518518518518517,relative_bbox_area_ascending
small_lesion_per_class,95,class0_smallest_relative_area,0.005669487847222222,,,0.20886288875598086,16348
small_lesion_per_class,95,class1_smallest_relative_area,0.007861797401736944,,,1.3921423099023176,14859
small_lesion_per_class,95,class2_smallest_relative_area,0.00028822157118055556,,,0.21029411764705883,20735
